Date,Realized Volatility,Constant,RV_lag1,5MA_RV,22MA_RV,Abs_Bias_lag1,Abs_pct_chg_lag1,abs_overnight_info_lag1,Abs_Bias_lag2,Abs_pct_chg_lag2,abs_overnight_info_lag2,Abs_Bias_lag3,squared_pct_chg_lag3,abs_overnight_info_lag3
2005-02-03,3.7118110741961767,1,3.0419183361302826,1.1142102349144172,0.9434333662671822,0.030941667750563617,5.3467,0.0010477543069171702,0.01945482466872228,0.2427,0.00048014807309737506,0.027719429770924897,1.8003,0.0019501762346640916
2005-02-04,1.4559268914939325,1,3.7118110741961767,1.766251593099963,1.0828250749118158,0.020109807028203086,0.8138,0.0029811591676400795,0.030941667750563617,5.3467,0.0010477543069171702,0.01945482466872228,0.2427,0.00048014807309737506
2005-02-16,1.2033278519425579,1,1.4559268914939325,1.9687959687629621,1.0902256583451995,0.03245580452083896,2.149,0.005509599523855435,0.020109807028203086,0.8138,0.0029811591676400795,0.030941667750563617,5.3467,0.0010477543069171702
2005-02-17,0.7375221795183518,1,1.2033278519425579,2.0640225095222053,1.1222961918325751,0.026108033158664945,0.7782,0.0008972577966996909,0.03245580452083896,2.149,0.005509599523855435,0.020109807028203086,0.8138,0.0029811591676400795
2005-02-18,0.478974804393049,1,0.7375221795183518,2.0301012666562603,1.1040057346258527,0.009802411142367795,0.2147,0.0003683677197923174,0.026108033158664945,0.7782,0.0008972577966996909,0.03245580452083896,2.149,0.005509599523855435
2005-02-21,0.6434973873379927,1,0.478974804393049,1.5175125603088135,1.1011808344991978,0.0047699675109766915,1.3451,0.0004439155648627846,0.009802411142367795,0.2147,0.0003683677197923174,0.026108033158664945,0.7782,0.0008972577966996909
2005-02-22,1.4877869027850463,1,0.6434973873379927,0.9038498229371765,1.113902629310884,0.008614101181311007,2.0263,0.0008941255616381483,0.0047699675109766915,1.3451,0.0004439155648627846,0.009802411142367795,0.2147,0.0003683677197923174
2005-02-23,0.8551276774942057,1,1.4877869027850463,0.9102218251953993,1.1712540227228083,0.021486663325529065,1.9305,0.0002649966547272342,0.008614101181311007,2.0263,0.0008941255616381483,0.0047699675109766915,1.3451,0.0004439155648627846
2005-02-24,0.5432909256387541,1,0.8551276774942057,0.8405817903057289,1.2002653347001533,0.016909560667778045,0.0151,0.0018643152705486443,0.021486663325529065,1.9305,0.0002649966547272342,0.008614101181311007,2.0263,0.0008941255616381483
2005-02-25,0.7160486008700284,1,0.5432909256387541,0.8017355395298094,1.1812114891997882,0.012040870283162697,0.0362,0.0010818994263308568,0.016909560667778045,0.0151,0.0018643152705486443,0.021486663325529065,1.9305,0.0002649966547272342
2005-02-28,0.6207604535187351,1,0.7160486008700284,0.8491502988252051,1.1733156648106755,0.005624739409146429,0.1905,0.000766802228522323,0.012040870283162697,0.0362,0.0010818994263308568,0.016909560667778045,0.0151,0.0018643152705486443
2005-03-01,0.39573374861660815,1,0.6207604535187351,0.8446029120613536,1.156026321224566,0.0026192146438424047,0.4908,0.0005775007704773572,0.005624739409146429,0.1905,0.000766802228522323,0.012040870283162697,0.0362,0.0010818994263308568
2005-03-02,0.8587619284916083,1,0.39573374861660815,0.6261922812276659,1.1534793288619372,0.003707174042907546,0.1984,7.825920834836353e-05,0.0026192146438424047,0.4908,0.0005775007704773572,0.005624739409146429,0.1905,0.000766802228522323
2005-03-03,0.6541338401300476,1,0.8587619284916083,0.6269191314271464,1.1535901465385068,0.012636542621267566,1.2246,0.0017515038604001276,0.003707174042907546,0.1984,7.825920834836353e-05,0.0026192146438424047,0.4908,0.0005775007704773572
2005-03-04,0.3980539510408771,1,0.6541338401300476,0.6490877143254051,1.0029823649416052,0.004902307335934886,0.5351,0.00014139490345144168,0.012636542621267566,1.2246,0.0017515038604001276,0.003707174042907546,0.1984,7.825920834836353e-05
2005-03-07,0.2590300809056535,1,0.3980539510408771,0.585488784359575,0.9656263631039933,0.006229242828401205,0.5118,0.0005387943713763832,0.004902307335934886,0.5351,0.00014139490345144168,0.012636542621267566,1.2246,0.0017515038604001276
2005-03-08,0.6099096493071366,1,0.2590300809056535,0.5131427098369585,0.9568503110616008,0.0003256498879009584,0.4679,0.0034807281623532305,0.006229242828401205,0.5118,0.0005387943713763832,0.004902307335934886,0.5351,0.00014139490345144168
2005-03-09,0.41144915594538106,1,0.6099096493071366,0.5559778899750643,0.9636704146478561,0.016843086230406534,1.8962,0.002225440105524612,0.0003256498879009584,0.4679,0.0034807281623532305,0.006229242828401205,0.5118,0.0005387943713763832
2005-03-10,0.5809020228168599,1,0.41144915594538106,0.4665153354658188,0.9618451815877166,0.011212933221502297,0.1123,8.27735676374175e-05,0.016843086230406534,1.8962,0.002225440105524612,0.0003256498879009584,0.4679,0.0034807281623532305
2005-03-11,0.7983637051500594,1,0.5809020228168599,0.4518689720031813,0.9681041365712587,0.011010521828072939,2.3206,0.0013381331774144911,0.011212933221502297,0.1123,8.27735676374175e-05,0.016843086230406534,1.8962,0.002225440105524612
2005-03-14,1.3507723549425783,1,0.7983637051500594,0.5319309228250177,0.9713390709805186,0.00847741780956568,0.2883,0.0007413939320395357,0.011010521828072939,2.3206,0.0013381331774144911,0.011212933221502297,0.1123,8.27735676374175e-05
2005-03-15,0.7884172257033835,1,1.3507723549425783,0.7502793776324027,0.9915047055757231,0.005685225471949273,0.2759,0.0002845398978150726,0.00847741780956568,0.2883,0.0007413939320395357,0.011010521828072939,2.3206,0.0013381331774144911
2005-03-16,0.927748863456716,1,0.7884172257033835,0.7859808929116521,0.889072836919955,0.017098616236095765,1.883,0.0016497151438290558,0.005685225471949273,0.2759,0.0002845398978150726,0.00847741780956568,0.2883,0.0007413939320395357
2005-03-17,0.6676419832917374,1,0.927748863456716,0.889240834413919,0.7625245546136159,0.018317902318186974,1.068,0.0003153401040796311,0.017098616236095765,1.883,0.0016497151438290558,0.005685225471949273,0.2759,0.0002845398978150726
2005-03-18,0.6437318242150218,1,0.6676419832917374,0.9065888265088946,0.726693422422607,0.021251225628457604,0.9648,0.0008222282041785434,0.018317902318186974,1.068,0.0003153401040796311,0.017098616236095765,1.883,0.0016497151438290558
2005-03-21,0.6512239546371316,1,0.6437318242150218,0.8756624503218869,0.7012572393440827,0.024321364836672466,1.2925,0.0010270849707039176,0.021251225628457604,0.9648,0.0008222282041785434,0.018317902318186974,1.068,0.0003153401040796311
2005-03-22,1.200019619731343,1,0.6512239546371316,0.7357527702607977,0.6973345927585727,0.011460203870607977,0.2968,0.0002957272311583381,0.024321364836672466,1.2925,0.0010270849707039176,0.021251225628457604,0.9648,0.0008222282041785434
