Date,Realized Volatility,BIAS,pct_chg,Overnight_Information
2005-01-04,0.6451934840142377,-2.6573,-1.8730000000000002,-5.714000000000169
2005-01-05,1.2931140559594871,-1.7609,0.7373,-1.0919999999998709
2005-01-06,0.497776115220295,-2.2194,-0.9990000000000001,0.55600000000004
2005-01-07,1.13991223806624,-1.505,0.4289,-0.1069999999999709
2005-01-10,0.5411226071794587,-0.6427,0.615,-1.1700000000000728
2005-01-11,0.3636179014808911,-0.0603,0.4041,0.30999999999994543
2005-01-12,0.22605624772271196,0.07200000000000001,-0.0429,-0.2919999999999163
2005-01-13,0.2168788139926181,0.16699999999999998,-0.0485,-1.2049999999999272
2005-01-14,0.9624755266467844,-0.4627,-0.8512,-0.44299999999975626
2005-01-17,0.8897567374305049,-2.3887,-2.3256,-10.04600000000005
2005-01-18,1.001126012413147,-1.5458,0.7235,-0.8759999999999764
2005-01-19,0.4517675805944409,-1.8692,-0.5995,-0.3789999999999054
2005-01-20,0.8563239396070722,-2.6994,-1.1258,-4.740000000000009
2005-01-21,3.9675050352618846,-0.1863,2.4977,-2.4610000000000127
2005-01-24,1.2198859914683386,1.5083,1.7255,23.547999999999774
2005-01-25,0.4521032258382866,1.41,-0.1229,-3.423000000000002
2005-01-26,0.4598673704095242,0.5391,-0.9788,-1.8619999999998527
2005-01-27,0.4516042832684476,-0.5166,-1.2937,-2.379000000000133
2005-01-28,0.4432050131789357,-1.2521,-0.9967,-2.1640000000002146
2005-01-31,0.7271951481463413,-2.8336,-1.8003,-2.9179999999998927
2005-02-01,0.907128393848078,-2.7798,-0.2427,-2.3220000000001164
2005-02-02,3.0419183361302826,2.131,5.3467,0.5709999999999127
2005-02-03,3.7118110741961767,0.9877,-0.8138,1.3130000000001019
2005-02-04,1.4559268914939325,2.8692,2.149,-3.6980000000000928
2005-02-16,1.2033278519425579,3.4759,0.7782,7.011000000000195
2005-02-17,0.7375221795183518,3.0711,-0.2147,1.1479999999999109
2005-02-18,0.478974804393049,1.5452,-1.3451,-0.4700000000000273
2005-02-21,0.6434973873379927,3.1156,2.0263,0.5589999999999691
2005-02-22,1.4877869027850463,4.3057,1.9305,1.1489999999998872
2005-02-23,0.8551276774942057,3.3528,0.0151,0.34699999999998
2005-02-24,0.5432909256387541,2.412,0.0362,-2.438999999999851
2005-02-25,0.7160486008700284,2.1285,0.1905,1.4180000000003474
2005-02-28,0.6207604535187351,1.126,-0.4908,-1.0060000000000855
2005-03-01,0.39573374861660815,0.6572,-0.1984,-0.7539999999999054
2005-03-02,0.8587619284916083,-0.6413,-1.2246,-0.10200000000008913
2005-03-03,0.6541338401300476,-0.2498,0.5351,-2.2530000000001564
2005-03-04,0.3980539510408771,-0.9797,-0.5118,-0.18299999999999272
2005-03-07,0.2590300809056535,-0.5872,0.4679,0.6940000000001874
2005-03-08,0.6099096493071366,1.2279,1.8962,4.510999999999967
2005-03-09,0.41144915594538106,1.0575,-0.1123,2.936999999999898
2005-03-10,0.5809020228168599,-1.1077,-2.3206,0.1089999999999236
2005-03-11,0.7983637051500594,-0.6507,0.2883,-1.7200000000000273
2005-03-14,1.3507723549425783,-0.2805,0.2759,-0.956000000000131
2005-03-15,0.7884172257033835,-1.899,-1.883,-0.36799999999993815
2005-03-16,0.927748863456716,-2.7072,-1.068,-2.0920000000000982
2005-03-17,0.6676419832917374,-3.2646,-0.9648,0.39599999999995816
2005-03-18,0.6437318242150218,-4.0648,-1.2925,-1.0219999999999345
2005-03-21,0.6512239546371316,-3.3063,0.2968,-1.259999999999991
2005-03-22,1.200019619731343,-4.3647,-1.9596,-0.36400000000003274
